company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
"DINEEQUITY, INC.",Americas,2436129.83,2709611.15,2585200.6,3045386.29,2365526.36,2961246.72,2181059.54,3039505.47,2497505.06,2818813.42,2751003.7
"DINEEQUITY, INC.",APAC,18039,23203.4,42525.25,23192.26,10001.56,21296.91,15058.1,12640.84,7277.95,22851.1,16473.16
"DINEEQUITY, INC.",EMEA,36898.73,33646.48,38391.71,24639.49,42850.77,24604.46,24520.65,48253.05,32851.2,30305,14036.74
"DINEEQUITY, INC.",NULL,0,0,0,0,0,0,0,0,4.38,0,0
DINOVA LLC,Americas,137348.5,104948.7,113312.81,89418,89688.57,97432.85,117386.53,92900.46,136808.11,124510.79,183664.3
DINOVA LLC,EMEA,0,0,0,0,0,0,0,0,299.53,0,0
DIRECT HOLDINGS AMERICAS INC.,Americas,200855.01,321624.6,408057.32,699804.95,474700.88,249033.39,435199.83,434438.88,509209.88,106550.81,44240.16
DIRECT HOLDINGS AMERICAS INC.,APAC,0,0,0,0,255.88,185.25,0,0,0,0,0
DIRECT HOLDINGS AMERICAS INC.,EMEA,0,2200.44,3643.8,0,40.6,0,0,0,0,0,108.78
DIRECT WINES WINDSOR LTD,Americas,19107.35,19217.14,24861.3,24506.12,24632.41,19947.08,12589.82,8926.79,13350.15,29845.31,4666.28
DIRECT WINES WINDSOR LTD,APAC,5691.26,23008.11,7621.95,5308.45,8296.76,15638.54,8715.77,4086.27,9716.4,16411.75,4962.97
DIRECT WINES WINDSOR LTD,EMEA,196689.44,226391.24,172795.99,256224.05,257888.84,285125.19,146682.81,208952.9,274352.63,225487.25,132208.17
"DIRECTAPPS, INC. DBA DIRECT TECHNOLOGY",Americas,79072.57,134142.91,127870.55,143765.21,109669.05,134410.04,154253.49,172684.21,171831.52,191578.51,168955.63
"DIRECTAPPS, INC. DBA DIRECT TECHNOLOGY",APAC,0,0,0,0,548.84,0,574.85,0,0,0,0
"DIRECTAPPS, INC. DBA DIRECT TECHNOLOGY",EMEA,0,0,0,0,145.69,0,0,0,0,0,0
DISA GLOBAL SOLUTIONS INC.,Americas,165877.43,165942.12,159541.85,197616.62,174230.48,155929.67,263175.45,205094.77,273702.86,299329.82,356064.64
DISA GLOBAL SOLUTIONS INC.,EMEA,1459.81,2871,160.7,4023.24,2964.96,651.31,3436.7,0,0,0,0
DISARONNO INTERNATIONAL LLC,Americas,128625.63,177084.6,95965.21,106531.12,169532.87,182618.49,79652.97,103981.53,29210.32,3797.4,328379.59
DISARONNO INTERNATIONAL LLC,APAC,0,0,0,0,0,0,0,0,0,0,54.76
DISARONNO INTERNATIONAL LLC,EMEA,1202,6269.23,1986.69,2867.82,5531.38,5279.36,-3768.18,3454.22,0,0,8345.25
DISCOUNT TIRE - THE REINALT-THOMAS CORPORATION,Americas,5759581.02,5074376.79,5146901.11,6161681.36,5378934.68,6182764.25,5692925.34,6428783.02,5218420.83,7333292.5,6545609.1
DISCOUNT TIRE - THE REINALT-THOMAS CORPORATION,APAC,6777.97,8791.38,0,7892.46,6006.07,0,15710.13,7212.61,7510.18,34557,3154.42
DISCOUNT TIRE - THE REINALT-THOMAS CORPORATION,EMEA,337.26,1155.69,-336.78,859.46,6654.39,102.74,592.21,0,190.55,726.44,4303.51
DISCOUNT TIRE - THE REINALT-THOMAS CORPORATION,NULL,0,242.1,0,0,63.24,26.48,1140.13,613.06,0,26.71,1207.1
DISCOVER FINANCIAL SERVICES,Americas,7573950.08,8627765.75,8103763.76,9326871.13,7625749.21,8796580.2,8517145.05,10567658.92,8429054.31,10400837.3,10588419.39
DISCOVER FINANCIAL SERVICES,APAC,197420.74,225852.86,416973.74,434996.59,316046.68,329146.11,314309.22,416443.13,299693.5,480623.07,320075.37
DISCOVER FINANCIAL SERVICES,EMEA,488288.53,783478.85,603558.14,881909.11,774538.59,860722.59,814299.62,1198327.88,640482.71,1488570.82,1367066.79
DISCOVER FINANCIAL SERVICES,NULL,224.45,800.32,911.45,80026.44,186.66,28008.48,6357.36,8338.15,63958.42,14296.63,175689.65
DISCOVERY LABORATORIES INC,Americas,439161.49,206839.07,131688.29,187139.48,208579.23,237864.38,228411.27,176346.51,133819.08,132381.51,64350.89
DISCOVERY LABORATORIES INC,APAC,0,0,0,0,155.02,0,1331.97,1602.57,0,0,644.38
DISCOVERY LABORATORIES INC,EMEA,2354.18,9379.37,3145.67,17006.19,6597.98,29486.16,13871.83,18419.95,9654.68,3127.71,1508.78
DISTANT LANDS TRADING COMPANY,Americas,260338.85,251030.02,187610.8,217046.02,342787.36,214101.93,219502.38,269375.39,392960.99,255349.41,201377.07
DISTANT LANDS TRADING COMPANY,APAC,722.55,3858.83,309.57,3435.19,136.71,1259.24,2091.31,6404.25,1142.96,5054.68,2084.33
DISTANT LANDS TRADING COMPANY,EMEA,0,6879.55,0,0,1197.01,203.98,1062.98,0,3897.24,0,1694.7
DISTINCTIVE APPLIANCES INC,Americas,27568.73,40071.83,32383.85,36569.72,36621.94,38826.6,30006.04,36318.67,33681.09,43616.31,36274.83
DISTINCTIVE APPLIANCES INC,APAC,0,0,0,0,0,0,0,0,0,0,1388.26
DISTINCTIVE APPLIANCES INC,EMEA,0,0,435.09,47.06,97.76,0,0,0,0,137.94,0
DISTINCTIVE LIFE CREMATIONS & FUNERALS,Americas,106370.69,90377.64,89842.95,93841.68,95847.18,115529.55,96663.93,112200.41,51410.59,66579.93,60425.61
DITECH FINANCIAL LLC,Americas,1899730.15,2360733.49,1923780.36,2258066.15,1698700.39,1275786.89,1258257.4,976637.55,557114.06,735091.53,750626.26
DITECH FINANCIAL LLC,APAC,0,0,21.03,6793.16,0,1584.79,2262.98,1078.26,0,2086.12,952.27
DITECH FINANCIAL LLC,EMEA,0,0,0,0,0,0,0,0,0,0,24.72
"DIVERSIFIED CPC INTERNATIONAL, INC.",Americas,166584.8,218830.93,200944.65,205534.62,228943.26,272748.39,245770.82,259474.97,235111.32,178962.25,256260.24
"DIVERSIFIED CPC INTERNATIONAL, INC.",APAC,0,966.67,783.2,0,0,0,1088.75,0,0,0,1407.41
"DIVERSIFIED CPC INTERNATIONAL, INC.",EMEA,0,0,0,0,0,61.17,0,0,372.55,161.32,0
"DIVERSIFIED MACHINE SYSTEMS, INC.",Americas,107334.53,118351.43,101710.63,96638.16,94978.27,100018.44,131131.55,130756.98,128421.95,144537.97,118290.05
"DIVERSIFIED MACHINE SYSTEMS, INC.",APAC,0,59.81,0,1405.45,0,201.78,0,0,0,0,203.38
"DIVERSIFIED MACHINE SYSTEMS, INC.",EMEA,878.43,992.78,282.55,1197.45,892.43,581.92,0,2150.96,601.13,512.13,4344.75
"DIVERSIFIED MAINTENANCE SYSTEMS, LLC",Americas,335728.6,380117.89,386240.46,393837.6,353745.34,421199.55,397240.31,417469.88,359383.85,381571.5,387731.62
"DIVERSIFIED MAINTENANCE SYSTEMS, LLC",APAC,0,0,0,0,0,53.31,0,0,0,0,0
"DIVERSIFIED MAINTENANCE SYSTEMS, LLC",EMEA,0,0.11,0,0,0,36.22,0,0,19.66,19,7.46
DIVERSIFIED TRUST COMPANY,Americas,125058,138544.63,135058.41,170356.58,127579.52,113577.8,110120.91,136536.85,118397.36,150950.97,102021.11
DIVERSIFIED TRUST COMPANY,EMEA,0,0,950.62,0,0,0,0,0,0,0,1212.38
"DIVX, LLC",Americas,95274.58,73088.26,128028.29,40411.85,116033.45,112496.67,92962.06,126452.44,121781.38,123977.28,93260.08
"DIVX, LLC",APAC,45299.84,45848.96,31448.64,23652.02,20853.21,24431.36,17810.65,27173.68,26903.61,26391.17,32863.56
"DIVX, LLC",EMEA,46257.27,37960.84,22378.53,33620.64,40388.46,16788.51,22386.89,40841.47,41042.66,50107.27,73489.93
DMG INFORMATION,Americas,197933.76,206980.51,154779.26,118253.27,99213.65,144212.42,21638.67,83362.75,137831.74,91775.93,74160.33
DMG INFORMATION,APAC,9308.64,3660.68,26497.18,16007.61,0,6515.25,826.25,851.33,13004.9,2488.11,0
DMG INFORMATION,EMEA,15438.06,11583.96,13520.17,35347.17,18478.83,19238.14,9002.23,10563.44,18749.86,2897.71,6916.58
"DMG MORI USA, INC.",Americas,1365738.79,1651820.02,1513111.28,2149360.15,2265833.3,2975842.24,2821744.52,2925684.09,2718873.58,2636013.28,2416093.87
"DMG MORI USA, INC.",APAC,11326.55,4548.55,4912.61,3056.21,7615.49,4966.05,7013.16,12494.99,8639.93,13165.14,10058.54
"DMG MORI USA, INC.",EMEA,77853.84,41321.65,24014.46,51900.15,71541.61,47790.41,47272.29,52316.64,67471.69,34126.54,39307.08
"DMS HEALTH TECHNOLOGIES, INC.",Americas,1178779.15,1182261.01,1049717.26,931853.91,859087.36,1031775.64,976495.02,960760.55,1002945.53,1415488.78,1312175.04
"DMS HEALTH TECHNOLOGIES, INC.",APAC,0,0,0,257.08,0,9,149.3,1315.74,0,0,0
"DMS HEALTH TECHNOLOGIES, INC.",EMEA,726.85,0,0,2248.5,250.44,1902.06,0,0,0,0,0
DMSI SOFTWARE,Americas,158559.05,183635.24,158008.64,176334.62,196228.91,190739.55,179253.38,206035.49,206044.66,245844.24,312388.69
DMSI SOFTWARE,EMEA,0,65.73,0,0,0,0,0,0,0,0,2587.81
DMV - FONTERRA EXCIPIENTS USA LLC,Americas,18678.76,41598.07,55412.92,61582.06,33686.28,36381.9,22201.92,54014.57,10708.39,42131.15,38214.73
DMV - FONTERRA EXCIPIENTS USA LLC,APAC,0,0,0,0,0,82.4,0,0,0,0,0
DMV - FONTERRA EXCIPIENTS USA LLC,EMEA,0,2202.53,530.57,840.42,0,254.85,0,455,1142.23,0,850.26
DMV USA,Americas,345224.69,350691.28,452384.37,409812.28,445619.53,302741.77,337465.93,475881.83,314871.67,433851.11,437905.22
DMV USA,APAC,4327.11,3038.56,4245.12,2163.55,3389.75,4608.98,5848.79,372.19,0,0,1276.44
DMV USA,EMEA,23208.47,50591.3,12529.68,33523.17,9999.5,12569.36,5285.1,9867.03,6935.98,16931.79,20465.72
DOALL CANADA INC,Americas,43144.04,128462.36,58746.06,50684.65,76597.16,45166.75,60301.41,59750.07,57163.15,44573.29,90584.68
