COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
"VOTORANTIM CEMENT NORTH AMERICA, INC.",Americas,4663419.65,4387896.39,4575737.38,4574901.57,4058546.65,3955512.12,3920850.49,4321568.9,3792074.36,3601774.55,3514284.61,45366566.67
"VOX MEDIA, INC.",Americas,351145.17,399979.9,499107.05,743771.78,615103.87,539667.41,597699.9,778648.06,814727.26,725919.35,885750.58,6951520.33
"VOX MEDIA, INC.",APAC,383.09,822.97,423.86,153.98,1528.61,343.51,1224.25,2468.84,1007.94,890.68,1218.69,10466.42
"VOX MEDIA, INC.",EMEA,2146.32,392.54,1993.39,1367.56,2519.71,739.22,538.64,5250.93,2010.78,1578.85,5471.74,24009.68
VOXX INTERNATIONAL CORPORATION,Americas,1980707.42,1801930.33,1566240.45,2210825.01,2322502.56,2010565.03,1528802.02,2181367.23,2323591.9,2147743.09,2263254.92,22337529.96
VOYA SERVICES COMPANY,Americas,4659956.81,6177840.76,5710247.09,7078470.37,5871226.62,6584008.96,5495527.3,5956758.58,4808072.76,5487389.3,4887992.97,62717491.52
"VRIDE, INC.",Americas,1678797.88,2114252.83,1468138.75,1243168.9,1003568.61,1800677.86,996785.15,747372.69,1282127.07,1011363.49,201239.84,13547493.07
"VRIDE, INC.",EMEA,4878.29,6722.62,5748.2,1094.15,0,0,0,0,0,0,0,18443.26
"VT IDIRECT, INC.",Americas,705076.41,795148.82,701786.74,657171.49,570216.67,586566.66,683287.84,792159.15,649465.46,724816.96,613842.76,7479538.96
"VT IDIRECT, INC.",APAC,19655.29,17824.84,62088.17,90058.99,47468.16,67565.02,81532.89,65873.37,50611.31,88243.01,69722.68,660643.73
"VT IDIRECT, INC.",EMEA,204978.22,241487.09,227360.09,230249.1,189171.41,205351.25,217632.17,202644.38,178695.75,190487.92,150639.97,2238697.35
"VUBIQUITY, INC",Americas,518992.96,473196,350548.4,237835.88,471043.14,333834.32,215267.85,219930.71,275088.91,216018.09,142026.81,3453783.07
"VUBIQUITY, INC",EMEA,111551.57,77620.82,113158.31,54937.86,113238.09,106302.31,74389.67,62419.06,106848.54,75593.83,57563.4,953623.46
VULCAN INC,Americas,4054769.74,4064814.35,4348576.35,4799239.96,6205666.82,5719370,5235587.8,4974180.49,4660411.18,5525332.17,4313547.44,53901496.3
VULCAN INC,EMEA,96963.98,146334.65,265381.93,284721.7,213685.02,361257.26,254085.1,412585.43,161219.32,283451.46,323720.75,2803406.6
VW FINANCIAL SERVICES,APAC,148589.28,110549.49,108237.97,43261.69,62106.63,63606.53,79491.08,70627.25,81523.04,104464.98,124413.14,996871.08
VWR INTERNATIONAL LTD.,EMEA,400650.02,438047.73,349983.96,271320.53,309392.37,314733.14,282004.2,295990.75,264836.26,345745.48,286829.54,3559533.98
VYGON CORPORATION,Americas,125760.65,149428.5,150146.74,207520.79,120607.05,166373.38,153222.17,206240.98,132471.74,171188.06,171833.32,1754793.38
W V K INCORPORATED,Americas,62807.35,82471.8,71855.71,63834.38,67272.99,76182.68,78859.43,56857.38,53243.6,77257.48,67237.4,757880.2
W. J. DEUTSCH AND SONS LTD.,Americas,1354440.99,1477928.35,1565236.63,1764059.62,1621293.94,1706115.1,1798137.11,1914378.03,2120853.37,1878432.64,1949354.24,19150230.02
W.C. BRADLEY CO,Americas,664998.2,800945.04,801386.75,646639.12,798799.31,856661.53,867075.17,901159.49,713521.8,894783.08,753623.39,8699592.88
W.C. BRADLEY CO,APAC,622.25,29020.86,38925.4,47263.1,41582.22,63188.13,47062.64,55305.74,47614.49,57578.63,61882.47,490045.93
W.C. BRADLEY CO,EMEA,43790.76,34230.06,30109.75,42894.06,35343.51,29728.53,30844.81,36404.32,29019.5,35495.8,34649.21,382510.31
"W.L. GORE & ASSOCIATES, INC. (KN9X_US-MED)",Americas,10425316.28,9140866.6,9788562.87,9598622.91,8236537.92,8258557.98,8107467.11,8446168.57,11193848.32,7538549.39,8014706.53,98749204.48
"W.L. GORE & ASSOCIATES, INC. (ZFAL_US-NON-MED&APAC)",Americas,9566635.69,5300551.24,6214603.38,5457372.51,7149821.69,5001602.68,6832004,7405070.7,9014889.62,5884824.03,7017646.62,74845022.16
"W.L. GORE & ASSOCIATES, INC. (ZFAL_US-NON-MED&APAC)",APAC,2833019.62,2077966.97,2583263.5,2201389.86,2036808.35,1726263.8,2536663.43,3744725.32,3783916.5,2959429.66,3799726.37,30283173.38
"W.L. GORE & ASSOCIATES, INC. (ZFAL_US-NON-MED&APAC)",EMEA,0,2609.6,9251.49,6243.58,7568.42,21.6,560.67,0,13544.89,412090.84,565851.46,1017742.55
"WACHTER, INC",Americas,571816.8,692158.13,917262.04,944743.1,740119.11,904499.18,1029605.3,786169.49,784681.23,884753.13,860280.81,9116088.32
WACKER CHEMICAL CORPORATION,Americas,1890176.04,2418649.27,1929137.49,2059512.17,1763173.5,2685096.08,2049520.31,2358669.17,2184890.81,2765359.08,2282297.69,24386481.61
"WACOAL AMERICA, INC.",Americas,390663.05,508011.65,542715.05,441942.91,440788.81,406117.99,400190.22,467817.34,455709.01,481659.31,509378.31,5044993.65
"WACOAL AMERICA, INC.",EMEA,0,0,0,0,0,0,0,0,0,871.45,0,871.45
WADDELL AND REED SERVICES COMPANY,Americas,2468137.5,3209845.12,2695366.27,3083866.05,2174454.34,1996921.19,1645889.14,1670534.71,1362438.98,1497807.69,1478471.73,23283732.72
"WAGEWORKS, INC.",Americas,550243.25,552525.12,492328.91,641327.72,562549.84,738882.27,744024,790651.63,956030.62,794956.16,757802.87,7581322.39
WAGNER EQUIPMENT CO.,Americas,1229036,2707618.56,2850065.49,2853560.96,2911556.47,2604025.73,2664899.66,2511352.24,2325276.17,2480239.81,2544134.19,27681765.28
WAGNER EQUIPMENT CO.,APAC,3352.78,18313,2957.47,358.35,814.92,1735.39,6298.22,18201.7,19488.23,28442.49,11738.26,111700.81
"WAGSTAFF,INC",Americas,428486.43,575618.87,434672.08,433540.74,549138.62,500571.29,432419.69,596014.67,457701.07,542127.06,574844.94,5525135.46
"WAGSTAFF,INC",APAC,73120.25,100204.26,71805.89,64041.18,57830.87,71885.55,77891.67,73895.23,57816.37,87033.77,77366.52,812891.56
"WAGSTAFF,INC",EMEA,71648.97,148900.66,80415.69,145041.93,128629.29,121860.7,87736.67,112100.56,111662.69,105073.93,95308.72,1208379.81
"WAKAMOTO PHARMACY CO., LTD.",APAC,542963.05,553426.2,546306.2,641353.1,514263.65,578330.05,618317.42,592718.2,477069.17,606497.4,514810.23,6186054.67
WAKEFERN FOOD CORP,Americas,863675.52,1008020.16,937117.32,1087330.32,1066233.19,1109230.93,996342.54,1135285.94,931350.85,1076602.1,1035860.38,11247049.25
WALECO INC,Americas,65403.4,53923.91,42795.6,31789.36,52026.08,68375.96,51573.71,47604.05,73723.45,70980.96,102377.2,660573.68
WALGREEN CO,Americas,12218285.24,14547334.72,13346894.58,12078688.27,11782925.53,13598557.49,14423746.94,13239716.81,13042727.42,14075882.22,14038775.35,146393534.6
WALGREEN CO,APAC,3175.91,0,0,0,0,0,0,0,0,0,0,3175.91
WALGREEN CO,EMEA,0,0,0,0,41051.01,300615.12,277095.65,315128.55,367620.9,596755.32,745919.51,2644186.06
"WALKER AND ASSOCIATES, INC.",Americas,525212.53,475594.59,647008.28,878214.03,911402.19,705528.75,627669.95,938362.41,589037.61,1132555.78,849220.78,8279806.9
WALKER INTERNATIONAL TRANSPORTATION LLC,Americas,13869.15,14364.26,27921.57,26552.03,11743.81,23478.05,20301.19,19736.72,16703.2,11844.51,8196.19,194710.68
WALKER PROPERTY SERVICES,Americas,42708.67,21380.18,41758.54,33076.92,21866.9,32464.23,29001.97,17933.32,9995.52,21808.88,22705.26,294700.39
WALKER ZANGER INC,Americas,245953.18,267083.2,258455.75,310588.24,346348.75,386163.46,285908.46,339085.92,313819.36,280100.9,270687.05,3304194.27
WALLACE H. COULTER FOUNDATION,Americas,95038.41,110442.41,143949.79,81784.02,83987.28,125211.7,114420.83,50072.73,42629.32,115859.17,67521.47,1030917.13
"WARBIRD CONSULTING PARTNERS, LLC.",Americas,1062417.85,1866723.58,1656105.54,923435.71,851415.9,832796.38,675806.39,814786.53,818879.21,779593.01,918795.99,11200756.09
WARGAMING AMERICA INC.,Americas,319471.39,807771.02,530437.36,484945.74,455529.41,393838.43,238429.21,447444.98,404965.92,473775.25,542155.14,5098763.85
WARNER MUSIC GROUP,Americas,7038140.01,7259144.01,6952880.3,7604197.46,6614589.19,8143877.35,7938414.3,7869397.37,9071608.38,9510448.03,10338609.31,88341305.71
WARNER MUSIC UK.,EMEA,1353531.81,1449932.67,1291631.11,1725653.68,1423435.81,1259331.29,1324891.44,1483364.24,1483787.48,1528213.44,1840258.8,16164031.77
WARTSILA DEFENSE,Americas,568813.07,612632.64,558107.97,533062.22,617822.75,599150.61,604981.97,635322.98,546446.63,734714.64,588866.37,6599921.85
WASATCH ACADEMY,Americas,261819.97,350628.5,127159.44,454139.57,353982.26,402220.4,130719.4,301547.03,311501.81,225908.82,109067.79,3028694.99
WASATCH ACADEMY,APAC,0,0,0,0,0,0,0,0,0,0,539.77,539.77
WASATCH ADVISORS.,Americas,657161.28,538622.78,336265.37,678967.51,579946.61,488641.33,447619.45,617787.73,382568.46,546461.61,263285.53,5537327.66
"WASH MULTIFAMILY LAUNDRY SYSTEMS, LLC",Americas,327065.47,454244.08,599894.8,404020.29,542773.81,281627.38,477059.95,712874.36,787375.23,873590.96,614300.25,6074826.58
WASHINGTON DENTAL SERVICE,Americas,321264.44,496867.32,463351.65,553154.46,379073.07,488590,476573.21,549297.49,406343.66,655180.89,557596.45,5347292.64
"WASHINGTON NATIONALS BASEBALL CLUB, LLC",Americas,437793.81,884650.08,790921.23,588101.79,555064.95,989023.74,849794.41,667725.94,803229.43,1150458.77,913467.53,8630231.68
"WASHINGTON NATIONALS BASEBALL CLUB, LLC",APAC,0,69.84,0,0,0,0,0,0,0,0,0,69.84
"WASHINGTON NATIONALS BASEBALL CLUB, LLC",EMEA,0,3682.41,652.5,0,0,2859.19,6525,0,0,0,0,13719.1
WASSERMAN MEDIA LLC,Americas,2994830.85,2588494.6,2865181.01,3773112.45,3397520.79,3532220.28,4173392.88,4695882.61,3940839.59,4348010.17,4620371.35,40929856.58
WASSERMAN MEDIA LLC,EMEA,208208.14,235756.81,247233.77,205826.41,167831.2,181452.77,179721.32,225657.46,197148.38,204774.5,253009.94,2306620.7
"WASTE PRO USA, INC.",Americas,117632.74,126854.4,180216.11,162345.25,107932.6,141663.69,118201,106978.36,121811.97,142087.91,119388.15,1445112.18
WATCHGUARD TECHNOLOGIES,Americas,300226.3,377140.21,361149.08,339129.44,333584.05,397075.44,354166.65,446221.61,329656.53,430685.11,389420.94,4058455.36
WATCHGUARD TECHNOLOGIES,APAC,156258.53,153067.41,177336.82,156101.25,139430.82,125756.13,190972.73,146575.69,101525.05,138566.26,151099.8,1636690.49
WATCHGUARD TECHNOLOGIES,EMEA,213661.5,214925.5,220079.7,275946.63,218966.89,272669.39,258633.97,322576.83,220361.35,276240.62,248625.95,2742688.33
"WATER MANAGEMENT, INC.",Americas,51113.58,81011.62,53603.25,40230.26,32755.09,74274.29,83108.9,49957.63,33409.46,29799.21,23573.24,552836.53
WATER QUALITY ASSOCIATION,Americas,89381.65,124294.24,105213.56,101776.62,94814.26,95160.4,118038.31,106148.99,196862.32,177226.68,139507.24,1348424.27
WATER QUALITY ASSOCIATION,APAC,0,0,0,0,0,0,0,0,6398.51,17772.52,10199.43,34370.46
WATER QUALITY ASSOCIATION,EMEA,0,0,0,0,0,0,0,0,0,1338.62,16085.34,17423.96
WATER.ORG,Americas,133296.26,140899.54,123747.26,164568.42,181003.15,123009.58,197485.51,224892.64,186091.07,213082.62,222132.76,1910208.81
"WATERLOGIC EAST, LLC",Americas,52853.16,18548.17,26906.52,29771.84,28006.45,15974.94,27728.86,17220.7,12507.58,17881.74,58608.53,306008.49
WATERMARK COMMUNITY CHURCH,Americas,488176.43,414230.14,360962.74,485015.56,487896.65,440296.8,427704.88,453847.49,452153.7,443032.28,441374.53,4894691.2
"WATERTECTONICS, INC.",Americas,133631.16,273055.22,376151.67,179155.07,89011.12,50842.35,116746.33,123621.43,109971.5,93459.72,79265.24,1624910.81
"WATERTON ASSOCIATES, LLC",Americas,594465.02,674201.92,624308.21,745559.82,512338.8,582886.31,675295.32,679948.91,603918.38,678935.53,621925.03,6993783.25
WATERWORKS,Americas,350129.47,319739.4,291446.63,434873.97,390929.97,391061.91,377260.62,384934.68,461021.2,389176.88,335124.64,4125699.37
WATERWORKS,EMEA,3527.38,1179.41,1516.27,11526.06,7037.04,8689.72,3348.95,8507.02,5610.43,1770.24,8223.5,60936.02
WATSON BOWMAN ACME CORP.,Americas,147082.23,130405.13,128674.13,130603.39,138038.83,109159.56,161872.65,134636.05,157839.77,224751.19,125304.17,1588367.1
WATSON INCORPORATED,Americas,194623.64,265243.31,152372.86,182100.91,213248.23,152471.07,129581.72,124229.29,268723.31,186607.44,181929.06,2051130.84
WAVEGUIDE COMMUNICATIONS,Americas,44369.34,49644.03,83979.19,43952.8,87336.32,99264.31,78484.47,70327.02,58651.14,37429.71,21551.28,674989.61
WAVETRONIX LLC,Americas,221595.63,189044.47,182930.01,178114.76,143091.83,119277.87,148338.1,163701.6,130205.24,187516.7,226004.07,1889820.28
WAVETRONIX LLC,EMEA,35333.62,41881.07,42939.67,18313.87,24468.88,10975.46,25754.28,11082.48,28181.37,35744.96,25369.45,300045.11
WAVIN BV,APAC,0,0,0,0,0,0,0,0,0,7646.09,7488.3,15134.39
WAVIN BV,EMEA,718418.02,850666.78,748304.39,1038472.11,794495.86,1084420.8,1156506.21,1605354.71,1239053.58,1471290.38,1156136.17,11863119.01
WAYNE FUELING SYSTEMS LLC,Americas,575857.32,749150.93,682184.3,789495.91,567809.5,832330.24,815749.58,957242.19,795879.24,1198121.63,716724.19,8680545.03
WAYNE FUELING SYSTEMS LLC,APAC,64189.36,155203.38,186876.03,174871.14,110257.02,132004.58,157915.2,145208.84,95555.66,137362.99,146084.79,1505528.99
WAYNE FUELING SYSTEMS LLC,EMEA,148745.53,324548.04,321951.36,355682.68,283599.93,366614.11,347061.42,426561.24,277955.16,379391.28,232081.34,3464192.09
WAYNE STATE UNIVERSITY,Americas,1983182.13,2453326.12,1751059.71,1953441.43,1980765.3,2237248.55,1671860.54,1951585.39,1876816.69,2451853.63,1800738.94,22111878.43
WAYNE STATE UNIVERSITY,APAC,0,0,0,1029,0,0,0,0,1351.02,1060.92,626.76,4067.7
WAYNE STATE UNIVERSITY,EMEA,0,1798.61,0,0,0,0,0,0,461.7,0,0,2260.31
WBCSD,EMEA,248685.9,461708.86,293745.03,473587.62,377468.57,319714.85,167524.08,595004.43,226177.4,360369.02,279315.73,3803301.49
WBI INVESTMENTS,Americas,131439.01,124454.93,102966.6,82241.17,57233.61,64549.5,106286.38,83147.25,78359.68,77428.17,72197.63,980303.93
WCP/FERN EXPOSITION SERVICES,Americas,671303.54,771521.73,886451.83,1148565.62,910223.58,972708.56,774468.39,1033311.36,862707.71,793630.54,940864.68,9765757.54
WD-40 COMPANY,Americas,890122.68,732799.05,848576.44,940026.87,937078.52,863772.31,844421.21,860701.02,965000.55,786039.67,716342.77,9384881.09
WD-40 COMPANY (AUSTRALIA) PTY. LIMITED,APAC,92355.99,68037.32,118688.07,60325.66,91908.81,106669.26,107345.94,71900,107359.41,100026.99,77253.89,1001871.34
WD-40 COMPANY (MALAYSIA) SDN BHD,APAC,54886.76,59165,56392.69,54501.86,53798.71,66634.77,57657.8,47701.28,48407,48102.35,52496.09,599744.31
"WE PREDICT, INC.",Americas,30735.82,33406.43,28112.66,22361.6,5145.21,14768.09,3237.46,4043.14,5989.44,27718.43,21734.5,197252.78
"WE PREDICT, INC.",EMEA,0,0,0,4084.43,9200.55,21731.93,24939.95,9616.79,14193.98,21203.08,21059.86,126030.57
WEALTHCOUNSEL,Americas,219974.08,218832.96,180679.24,230966.85,207931.79,195834.06,153232.75,259393.57,257224.71,280704.5,212763.72,2417538.23
"WEATHERNEWS AMERICAS, INC.",Americas,45420.66,73732.74,53604.49,85865.27,37646.68,64163.46,50330.99,69595.31,74095.93,69294.96,99831.03,723581.52
"WEAVER HOLDINGS, INC.",Americas,810217.67,774852.4,739897.73,711708.36,588410.22,615244.87,642209.96,573433.64,781631.55,624636.06,532623.95,7394866.41
"WEAVER HOLDINGS, INC.",APAC,21565.41,20268.94,25159.51,27860.16,9236.84,18086.31,8135.36,15694.52,12098.34,26758.11,13971.84,198835.34
WEBASTO,Americas,638574.1,719490.92,631567.7,767059.99,559157.07,626259.19,669629.16,789992.51,682853.02,837811.8,768087.84,7690483.3
WEBB AUDIO VISUAL,Americas,110870.14,105472.17,107475.18,395771.12,194267.53,229290.12,198096.63,225096.22,331872.64,371218.47,640584.36,2910014.58
"WEBCETERA, L.P.",Americas,219039.03,270011.25,245562.74,293504.2,215832.32,303294.62,226240.41,668962.59,330955.69,193012.49,229271.37,3195686.71
WEBCOR BUILDERS,Americas,1092722.4,1232773.63,1484516.18,1329835.07,1373894.05,1624891.07,1684589.53,1851741.42,1949661.08,2071578.71,2067856.13,17764059.27
WEBRUNNERS INC,Americas,380467.64,209089,261749.96,256208.29,486812.96,221794.02,238319.19,282870.02,362263.21,210051.61,228832,3138457.9
WEBSECURE TECHNOLOGIES PTY LIMITED,APAC,11559.04,40672.32,44795.89,73357.46,20679.97,36188.01,53782.66,113687.3,45114.41,40786.73,78866.89,559490.68
WEBSTER UNIVERSITY,Americas,1659621.83,2183796.64,1408904.37,1567462.18,1516779.07,1838040.65,1241003.9,1474404.37,1444922.7,1760489,1202057.09,17297481.8
WEBSTER UNIVERSITY,EMEA,0,0,0,0,0,0,980,0,0,0,0,980
WEBTRENDS INC.,Americas,269801.93,334314.13,313385.35,260383.53,153930.82,140811.07,174830.47,138753.76,106057.77,40912.13,34360.09,1967541.05
WEBTRENDS INC.,APAC,44954.3,65851.67,40469.38,54994.81,33729.68,18167.47,15270.96,24607.02,11737.15,9968.91,0,319751.35
WEBTRENDS INC.,EMEA,117786.08,105994.6,111278,134370.46,98677.59,91233.76,75762.38,84121.17,62175,43041.82,37959.06,962399.92
WEDDINGWIRE INC,Americas,142783.55,260430.64,265559.86,328737.87,222384.82,257916.47,318658.57,326682.49,244263.81,346636.65,219313.99,2933368.72
WEDGEWOOD VILLAGE PHARMACY INC,Americas,103530.47,106008.58,132438.59,133645.78,127761.07,107500.98,108548.71,133372.73,145970.53,120773.79,124458.73,1344009.96
WEG ELECTRIC CORP,Americas,806714.57,837903.89,861666.24,1088648.14,834398.73,810466.53,721987.35,822088.77,803250.03,881077.14,740861.55,9209062.94
WEIGEL BROADCASTING - CTE,Americas,115131.12,85660.27,64998.76,101924.55,64715.68,96990.84,90808.46,125792.73,66913.15,130110.45,70160.9,1013206.91
WEIGEL BROADCASTING - CTE,EMEA,0,0,67.17,0,0,0,0,0,0,0,0,67.17
"WEIR FLOWAY, INC.",Americas,138480.78,98784.17,124493.52,91955.15,134594,54290,74949.66,84882.32,73531.79,84902.85,82639.37,1043503.61
"WEIR FLOWAY, INC.",EMEA,0,0,0,0,0,0,0,0,0,0,1542.45,1542.45
WEIR MINERALS AUSTRALIA INC,Americas,0,0,0,0,0,0,0,347843.58,1648322.87,1695903.01,1431121.17,5123190.63
WEIR MINERALS AUSTRALIA INC,APAC,694113.27,962724.43,1098460.84,1358734.2,1016321.55,1111303.6,1289586.87,1692695.64,1438657.36,1830666.75,1767471.93,14260736.44
WEIR MINERALS AUSTRALIA INC,EMEA,0,0,0,0,0,0,0,0,506.22,0,439.87,946.09
WEIR OIL AND GAS SPM FLOW CONTROL,Americas,1540100.13,1834633.37,1885108.63,1283908.27,1065196.02,980273.35,955929.5,912696.75,762582.91,1627032.49,1402617.27,14250078.69
WELCH ALLYN INC.,Americas,1243914.18,1483158.74,1464642.28,1405914.52,1429000.14,1314171.09,1379310.84,1225322.87,1132564.17,1551729.85,1337601.37,14967330.05
WELCH ALLYN INC.,APAC,218644.95,315654.5,356414.55,362714.38,279912.5,283161.09,440971.13,331023.26,330704.97,508284.93,419479.4,3846965.66
WELCH ALLYN INC.,EMEA,358456.28,365600.45,320963.91,334371.82,353861.62,249778.32,236904.4,252298.2,245933.6,275263.01,236964.88,3230396.49
WELCH EQUIPMENT,Americas,129340.29,160187.97,142550.91,143349.24,114525.97,116369.89,112585.5,140617.75,125513.75,128966.97,135780.03,1449788.27
WELK HOSPITALITY MANAGEMENT INC,Americas,165065.04,366576.22,509795.77,565255.34,337566.93,315343.56,466288.38,518541.57,953628.53,1077531.55,983427.54,6259020.43
WELLBORN CABINET INC.,Americas,190934.62,204712.12,219163.43,193722.44,241177.17,230675.95,266572.56,219508.24,222315.94,250313.16,237563.29,2476658.92
"WELLHEAD ELECTRIC COMPANY, INC",Americas,189216.99,244770.03,275694.35,308666.79,335389.96,190930.69,279820.01,286502.01,241093.81,248085.56,210623.27,2810793.47
WELLNESS COACHES USA,Americas,120422.61,182956.69,179264.66,154844.32,162092.85,184972.42,166169.12,180013.49,172715.98,164743.12,145927.59,1814122.85
"WELLPARTNER, INC.",Americas,135848.48,204122.62,122433.33,120696.84,155503.26,136773.05,158484.46,153888.51,172956.37,185431.29,171700.57,1717838.78
"WELLPET, LLC, FKA, OLD MOTHER HUBBARD, INC.",Americas,565348.65,546978.83,443670.07,503187.85,416523.92,532838.44,493953.63,450637.69,392455.79,445656.25,452501.56,5243752.68
"WELLPET, LLC, FKA, OLD MOTHER HUBBARD, INC.",APAC,76474.8,70891.24,106660.48,118985.66,99889.41,90575.62,116427.73,180332.54,110448.61,112153.26,129886.85,1212726.2
"WELLPET, LLC, FKA, OLD MOTHER HUBBARD, INC.",EMEA,0,0,0,0,0,0,2515.18,5435.03,5606.94,2090.11,6850.45,22497.71
"WELLS FARGO BANK, N.A.",Americas,144609447,167274102.9,158894984.7,197127895.4,151813370.4,187236468.2,168814334.7,202780696.1,160334561.2,179602332.5,153028509.3,1871516702
"WELLS FARGO BANK, N.A.",APAC,1348077.07,1678651.15,1568270.76,2380799.51,1800553.91,1878705.04,2032521.33,2834623.65,1997486.82,2077021.83,1950772.96,21547484.03
"WELLS FARGO BANK, N.A.",EMEA,2279839.83,2428858.44,2120678.62,3175199.65,2940041.32,3377994.67,2656811.08,3576464.09,3538863.85,3558919.26,3107586.9,32761257.71
"WELLS MEDIA GROUP, INC.",Americas,150154.12,144098.75,122001.33,113444.86,103725.56,85731.67,80969.78,115625.64,61834.81,108581.52,127459.46,1213627.5
WELLSPRING ADVISORS LLC PROFESSIONAL,Americas,206546.88,264297.33,251620.85,349826.11,269753.25,341624.48,242835.19,345183.55,263169.41,294188.19,300550.39,3129595.63
WELLSPRING ADVISORS LLC PROFESSIONAL,EMEA,7340.77,2255.59,5129.37,5655.98,757.2,14428.51,9792.45,6258.88,3861.78,8276.07,8100.25,71856.85
"WELLTOWER, INC.",Americas,1448430.01,2055033.07,1480861.08,1785413.93,1741015.38,1766929.24,1401515.05,1738871.63,1329976.44,1398477.93,1223393.62,17369917.38
"WELLTOWER, INC.",EMEA,0,0,0,5758.38,3448.85,4149.36,3515.48,6708.8,7085.59,3992.57,3864.02,38523.05
"WELOCALIZE, INC.",Americas,528547.22,421255.56,568843.19,721565.44,645105.14,760291.01,775059.14,798214.5,502993.44,675822.32,598574.56,6996271.52
"WELOCALIZE, INC.",EMEA,112557.22,137759.39,98687.04,127214.68,126847.31,210220.54,182632.87,170824.17,141036.87,180577.7,336023.69,1824381.48
"WELSH, CARSON, ANDERSON & STOWE",Americas,1128948.85,1102707.27,970760.65,1141589.37,879940.44,862505.8,752935.91,1204539.42,1004988.58,1134598.75,943933.28,11127448.32
WERNER CO.,Americas,1636794.23,1644594.78,1551059.71,1563827.2,1701580.1,1769620.48,1351222.79,1292738.52,1318898.9,1736648.84,1659906.81,17226892.36
WERNER CO.,APAC,84388.94,57788.09,58852.7,96817.76,65120.59,47878.71,118583.02,85916.84,34486.84,48237.86,134040.33,832111.68
WERNER CO.,EMEA,82236.2,56517.8,104482.27,81635.14,160275.97,210694.73,187661.79,134917.64,71840.46,93662.3,64443.29,1248367.59
"WESBANCO BANK, INC.",Americas,325104.53,463010.11,416442.29,443071.48,308826.54,364948.49,371722.64,597758.74,457193.12,570349.8,444245.43,4762673.17
WESCO AIRCRAFT HARDWARE CORP.,Americas,678972.26,840744.8,936219.71,712843.44,654139.3,810528.77,1030156.77,1366252.36,1391032.28,1690833.14,1609020.4,11720743.23
WESCO AIRCRAFT HARDWARE CORP.,APAC,1717.46,1498.42,1995.3,3182.54,3448.43,5459.14,95.02,9520.34,4898.8,19675.14,1671.47,53162.06
WESCO AIRCRAFT HARDWARE CORP.,EMEA,0,0,0,16549.48,0,0,0,0,0,0,0,16549.48
"WESCON CONTROLS ACQUISITION CO, LLC",Americas,77205.67,68493.62,68683.24,64864.48,47427.04,78262.63,67028,71960.55,99065.45,79935.73,50997.18,773923.59
"WES-GARDE COMPONENTS GROUP, INC.",Americas,104949.79,140345.04,117828.88,159808.29,101438.33,134685.09,123934.28,150736.57,95156.14,124388.59,149459.14,1402730.14
"WEST CENTRAL, INC.",Americas,575291.04,365591.56,451132.48,520497.76,681412.61,557136.15,540238.87,510180.37,689851.07,577910.53,693658.67,6162901.11
WEST CHESTER HOLDINGS,Americas,169945.35,229583.6,172398.98,216094.03,227834.05,229106.55,199391.32,394312.09,131904.1,343248.16,168079.7,2481897.93
WEST CORPORATION,Americas,3726013.06,3676150.6,3006664.38,3247203.84,2968477.89,3570794.62,3234917.52,3405514.91,3048742.71,3428502.24,2862185.84,36175167.61
WEST CORPORATION,APAC,110137.56,74573.34,79254.47,100323.26,91193.99,70136.76,76559.87,104517.81,130379.48,110624.65,126860.76,1074561.95
WEST CORPORATION,EMEA,246323.98,319186.09,247942.32,287762.68,159794.14,196667.93,153090.05,163403.38,100360.21,105035.7,86832.17,2066398.65
WEST LAKE HOUSING,Americas,96472.1,158881.88,163526.84,175840.27,134195.99,133978.89,150000.83,148260.44,124693.3,198582.03,169083.62,1653516.19
"WEST LIBERTY FOODS, L.L.C.",Americas,100590.65,87313.98,96820.13,80377.49,86849.05,79360.8,75866.12,69331.42,96189.13,102065.44,85342.68,960106.89
"WEST MONROE PARTNERS, LLC",Americas,3314642.07,5027012.98,4607522.94,4964112.77,4763141.11,5502995.56,6111465.04,6037708.34,6243988.91,7392628,7386984.72,61352202.44
"WEST MONROE PARTNERS, LLC",EMEA,1157.34,0,0,0,0,0,0,0,0,0,0,1157.34
"WEST PHARMACEUTICAL SERVICES, INC.",Americas,1087116.69,1305232.24,1135681.28,1264818.31,1200146.39,1258079.71,1068204.36,1276432.79,1226317.45,1227167.7,772198.04,12821394.96
WESTCOAT SPECIALTY COATING SYSTEMS,Americas,10878.72,40366.25,51039.15,58420.31,36773.33,54330.8,57723.76,58154.58,50052.39,49162.26,50830.63,517732.18
WESTCON GROUP EUROPEAN OPERATIONS LTD,APAC,1606.15,3316.72,1734.2,1206.11,751.95,281.74,146.71,216.39,336.92,163.9,260.81,10021.6
WESTCON GROUP EUROPEAN OPERATIONS LTD,EMEA,1133379.41,1225886.2,1113591.63,1505629.87,1493531.35,1644986.4,1211822.38,1278777.96,1070311.75,1351524.5,1151860.67,14181302.12
WESTCON GROUP NORTH AMERICA,Americas,1525663.32,1838345.8,1903654.77,1759688.22,1541156.2,1687904.28,1465084.94,1296352.89,1420191.49,1654457.67,1096433.7,17188933.28
