COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
95 PERCENT GROUP_US,Americas,69186.59,67874.29,123354.34,175690.55,187773.38,134075.99,180063.12,212382.34,207956.94,158685.14,144432.7,1661475.38
A & D ENGINEERING,Americas,144942.25,143293.9,159501.52,124666.57,162308.5,143719.69,116279.62,149342.36,153066.03,194361.01,187471.78,1678953.23
"A BOX 4 U, LLC",Americas,571559.53,562718.26,464295.56,632110.75,539140.23,541310.52,516288.61,460635.92,417863.63,369107.81,434804.63,5509835.45
A J WALTER AVIATION LTD,Americas,16059.23,53025.43,70449.77,55875.01,22767.02,56328.32,73938.9,70384.38,44673.81,10306.85,48078.88,521887.6
A J WALTER AVIATION LTD,EMEA,385930.18,462394.42,289012.99,384992.47,238949.14,312190.01,225101.11,252649.21,209767.84,291240.1,234430.51,3286657.98
A M CASTLE & CO,Americas,495617.2,926841.39,818689.58,813579.83,485790.45,506301.34,447802.12,652232.75,370197.7,531148.89,512716.73,6560917.98
"A W S CONVERGENCE TECHNOLOGIES, INC",Americas,424297.27,382751.34,337165.14,409774.57,368895.33,394517.47,432189.23,345754.48,392191.66,347091.03,294366.39,4128993.91
"A&E TELEVISION NETWORKS, LLC",Americas,1988223.78,2250026.37,2468505.31,2646077.09,2541150.43,2940117.85,2429559.52,2378578.64,2307948.5,2661496.27,2899802.71,27511486.47
"A&E TELEVISION NETWORKS, LLC",EMEA,215467.98,278177.82,181286.23,261183.48,315307.89,230310.75,265386.92,175834.78,172268.34,198509.74,165794.47,2459528.4
"A. JAFFE, INC.",Americas,39469.15,37201.06,43078.33,42447.22,35407.37,23423.47,44326.01,38031.76,43549.87,54901.46,48110.7,449946.4
A. LASSONDE INC.,Americas,349985.95,395383.34,381759.44,523274.85,326662.82,330622.75,296309.46,405969.49,324551.41,329687.04,308852.38,3973058.93
"A. MENARINI (CHINA) HOLDING CO., LTD.",APAC,871600.39,2473983.44,2526586.53,2573557.76,1021019.03,1210090.16,871806.85,1124285.29,611796.25,665652.35,980929.01,14931307.06
A.J. ANTUNES & CO,Americas,127055.96,138260.08,116002.86,160403.86,138964.49,203295.47,152421.43,172759.25,172095.29,173877.1,155333.85,1710469.64
A123 SYSTEMS,Americas,287054.07,295400.39,322916.44,325702.16,303852.51,401616.04,405740.43,467410.67,341447.62,354302.79,370361.23,3875804.35
A123 SYSTEMS,EMEA,37365.57,44922.27,44863.6,57591.89,38846.39,50438.9,50573.27,58537.44,51606.42,64815.02,79216.5,578777.27
A2K TECHNOLOGIES PTY LTD,APAC,55398.64,52236.47,50665.9,61021.39,59178.31,72443.17,62187.53,59890.02,62671.25,66639.85,76655.7,678988.23
A2MAC1 LLC,Americas,126447.1,143502.52,142435.04,267285.29,122190.01,103657.25,107603.04,152787.59,78442.59,155343.39,126395.15,1526088.97
"AAA ARIZONA, INC",Americas,354764.11,625417.97,634865.42,845370.8,838726.94,832643.45,734868.09,699772.82,722639.34,631438.82,496036.74,7416544.5
AAA LIFE INSURANCE CO,Americas,138973.81,223074.82,199431.28,298064.86,212473.43,204089.54,132953.63,158840.38,184510.52,213940.07,213789.53,2180141.87
AAE TRAVEL PTE LTD,APAC,82344.96,114865.29,106741.69,168217.92,115748.91,138023.24,100899.32,134791.77,78797.33,135044.05,215391.41,1390865.89
"AAF, S. DE R.L. DE C.V.",Americas,84241.49,71862.95,82280.43,88849.17,42851.03,52418.21,57078.15,57897.2,39833.8,55995.65,63722.99,697031.07
AAM LLC_US,Americas,66930.08,68055.81,58191.94,67816.95,54731.59,80558.9,43567.32,95464.89,93776.93,133154.55,76085.74,838334.7
AAPC LIMITED,APAC,250279.73,417482.46,256299.29,288785.27,204422.48,229685.06,287854.11,393803.76,225138.03,266650.79,227066.76,3047467.74
AAREAL CAPITAL CORPORATION,Americas,198801.12,166157.79,130148.16,197168.92,176728.57,228265.41,146069.92,155954.52,171653.51,136876.38,185961.61,1893785.91
AARHUSKARLSHAMN USA INC.,Americas,177152.63,269427.12,285293.01,318492.39,172073.64,396235.78,537438.41,579965.32,324627.8,429361.5,456718.97,3946786.57
AB BOYD CORP,Americas,207696.15,252440.97,159808.69,240787.17,188769.57,220646.1,177410.71,225849.35,229500.7,253151.13,325338.99,2481399.53
AB BOYD CORP,EMEA,5343.3,4958.9,3095.61,4440.49,4628.42,3529.32,2178.22,3216.46,2274.86,14041.38,13216.03,60922.99
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",Americas,764613.58,846205.44,887760.47,765626.29,765856.48,830083.58,849375.82,819218.69,770750.94,735780.8,663191.31,8698463.4
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",EMEA,0,0,0,0,0,0,0,1757.19,0,0,0,1757.19
AB SCIEX (DISTRIBUTION),APAC,708759.86,848157.15,826545.64,924276.57,701813.45,862748.46,870294.86,877518.82,743019.46,1170591.35,1023819.17,9557544.79
"AB SCIEX, LLC (FOR NA & EMEA)",Americas,2788959.79,3387152.56,3401853.71,3360085.21,3248951.22,3602682.6,4041279.11,4023532.06,7338092.37,8324082.35,7460849.21,50977520.19
"AB SCIEX, LLC (FOR NA & EMEA)",APAC,313089.38,399663.84,381355.26,532975.32,299482.37,367817.24,374641.13,461666.3,154238.29,202661.36,190967.94,3678558.43
"AB SCIEX, LLC (FOR NA & EMEA)",EMEA,1049883.23,1219356.66,1113799.91,1736297.35,910080.36,1358951.36,1210557.11,1590099.25,975120.37,1319198.85,1092664.87,13576009.32
AB VISTA INC,Americas,188299.14,190710.16,205474.48,205863.24,281094.12,163537.61,219370.12,268667.16,355004.77,235111.48,281853.95,2594986.23
AB VISTA INC,APAC,33061.19,56445.32,87980.62,67177.83,58218.26,69667.36,65976.72,74940.25,84052.5,84306.04,65650.4,747476.49
AB VISTA INC,EMEA,0,0,0,0,4011.55,0,0,0,0,0,0,4011.55
ABA INSURANCE SERVICES INC_US,Americas,128651.53,138466.15,155738.09,125539.06,156843.02,170029.41,140598.73,158300.09,134288.77,138957.34,135348.91,1582761.1
ABB INC,Americas,33405377.54,35526761.38,30027877.23,35275097.61,31061913.18,36618019.65,33471312.66,36374229.17,35014006.66,39233427.28,33333409.61,379341432
ABB INFORMATION SYSTEMS LTD (FKA ABB ASEA BROWN BOVERI LTD),EMEA,1734167.55,1873329.7,1429328.14,1830575.07,1388197.26,1657324.8,1547166.24,2224829.94,1723798.01,1884811.49,1693767.83,18987296.03
ABB/CON-CISE OPTICAL GROUP LLC,Americas,1060272.75,983987.22,1337716.15,1712003.9,1685451.43,1314194.08,1046662.61,1089921.31,1343309.24,1481257.7,1290679.49,14345455.88
